Name,Price,Charts,Change,Market cap,Trade,Volume (24),Suply
BitcoinBTC,"€32,393.32",,0.93%,€631.0B,€15.2B,19.5M,Trade
EthereumETH,"€1,697.91",,1.36%,€203.6B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.21,,1.13%,€32.3B,€280.5M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.0B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.12,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.4M,35.2B,Trade
DogecoinDOGE,€0.0648,,2.00%,€9.2B,€379.2M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.0B,€232.8M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.3B,€61.5M,3.4B,Trade
ChainlinkLINK,€10.65,,1.21%,€5.9B,€738.3M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.9M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.2M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,347.04",,0.88%,€5.3B,€123.7M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€133.0M,5.3B,Trade
LitecoinLTC,€65.48,,0.08%,€4.8B,€296.0M,73.8M,Trade
Bitcoin CashBCH,€229.09,,1.56%,€4.5B,€155.2M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€228.7M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.13%,€3.5B,€478.1K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€149.0M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€227.2M,3.3B,Trade
MoneroXMR,€160.73,,2.08%,€2.9B,€88.8M,18.4M,
CosmosATOM,€7.53,,7.10%,€2.8B,€230.3M,372.3M,Trade
OKBOKB,€42.60,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.33,,2.76%,€2.3B,€270.2M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€117.8M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,1.38%,€2.3B,€117.9M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€431.9M,2.0B,Trade
BitcoinBTC,"€32,395.73",,0.93%,€632.1B,€15.2B,19.5M,Trade
EthereumETH,"€1,697.82",,1.36%,€204.0B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.20,,1.10%,€32.3B,€280.9M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€30.0B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.16,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.8M,35.2B,Trade
DogecoinDOGE,€0.0648,,1.95%,€9.2B,€378.9M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.1B,€233.1M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.3B,€61.6M,3.4B,Trade
ChainlinkLINK,€10.62,,1.21%,€5.9B,€739.0M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.7M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.6M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,372.85",,0.88%,€5.3B,€123.5M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€134.2M,5.3B,Trade
LitecoinLTC,€65.50,,0.08%,€4.8B,€296.3M,73.8M,Trade
Bitcoin CashBCH,€229.07,,1.22%,€4.5B,€155.1M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€132.0M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€229.1M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.13%,€3.5B,€478.2K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€148.7M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€226.6M,3.3B,Trade
MoneroXMR,€160.77,,2.08%,€2.9B,€88.9M,18.4M,
CosmosATOM,€7.53,,7.10%,€2.8B,€231.3M,372.3M,Trade
OKBOKB,€42.60,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.33,,2.76%,€2.3B,€271.0M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€117.9M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,0.71%,€2.3B,€117.9M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€432.7M,2.0B,Trade
Internet ComputerICP,€3.70,,1.57%,€1.7B,€26.8M,447.7M,Trade
FilecoinFIL,€3.59,,1.20%,€1.7B,€132.3M,461.4M,Trade
HederaHBAR,€0.0487,,2.31%,€1.6B,€62.5M,33.5B,Trade
AptosAPT,€6.60,,3.07%,€1.6B,€196.4M,247.5M,Trade
Lido DAO TokenLDO,€1.68,,3.48%,€1.5B,€56.7M,890.2M,Trade
Crypto.com CoinCRO,€0.0580,,1.21%,€1.4B,€7.0M,25.3B,Trade
vechainVET,€0.0176,,2.73%,€1.3B,€41.0M,72.7B,Trade
MakerMKR,"€1,289.47",,2.52%,€1.3B,€49.9M,977.6K,Trade
Aave MKR V2aMKRv2,"€1,292.50",,2.95%,€1.3B,€49.7M,977.6K,Trade
NEAR ProtocolNEAR,€1.20,,0.77%,€1.2B,€79.2M,989.9M,Trade
QuantQNT,€96.39,,3.16%,€1.2B,€15.8M,12.1M,Trade
OptimismOP,€1.30,,2.46%,€1.1B,€100.1M,880.4M,Trade
ArbitrumARB,€0.89,,0.81%,€1.1B,€261.1M,1.3B,Trade
AaveAAVE,€77.18,,2.95%,€1.1B,€112.8M,14.6M,Trade
MantleMNT,€0.36,,1.46%,€1.1B,€47.0M,3.1B,Trade
InjectiveINJ,€12.60,,2.36%,€1.1B,€74.6M,83.8M,Trade
THORChainRUNE,€2.69,,5.64%,€907.9M,€206.3M,338.9M,
The GraphGRT,€0.0974,,5.27%,€902.3M,€56.2M,9.3B,Trade
Bitcoin SVBSV,€45.91,,2.87%,€883.9M,€48.3M,19.3M,
StacksSTX,€0.58,,2.41%,€825.6M,€43.0M,1.4B,Trade
RenderRNDR,€2.22,,10.17%,€825.9M,€105.7M,371.9M,Trade
AlgorandALGO,€0.10,,0.36%,€816.3M,€59.4M,7.9B,Trade
ImmutableIMX,€0.61,,4.33%,€744.8M,€23.9M,1.2B,Trade
MultiversXEGLD,€28.08,,2.44%,€733.9M,€21.4M,26.1M,Trade
Axie InfinityAXS,€5.10,,6.66%,€725.5M,€99.7M,141.4M,Trade
USDDUSDD,€0.94,,0.12%,€683.4M,€18.9M,725.3M,Trade
XDC NetworkXDC,€0.0485,,4.94%,€670.4M,€10.3M,13.9B,
The SandboxSAND,€0.32,,3.60%,€669.1M,€79.0M,2.1B,Trade
TezosXTZ,€0.70,,1.85%,€663.7M,€20.2M,958.1M,Trade
EOSEOS,€0.59,,0.12%,€651.1M,€121.3M,1.1B,Trade
DecentralandMANA,€0.34,,3.80%,€647.4M,€64.5M,1.9B,Trade
FantomFTM,€0.23,,0.03%,€646.1M,€64.3M,2.8B,Trade
Theta NetworkTHETA,€0.64,,0.84%,€642.9M,€17.1M,1.0B,Trade
Bitget TokenBGB,€0.46,,0.61%,€637.6M,€17.8M,1.4B,Trade
Synthetix Network TokenSNX,€2.14,,2.58%,€583.5M,€38.0M,273.3M,Trade
Aave SNX V2aSNXv2,€2.14,,2.56%,€584.0M,€38.0M,273.3M,Trade
NeoNEO,€8.26,,3.86%,€580.7M,€45.2M,70.5M,
MinaMINA,€0.57,,4.21%,€564.9M,€45.4M,993.9M,Trade
KavaKAVA,€0.63,,0.80%,€561.2M,€46.6M,890.2M,Trade
ConfluxCFX,€0.16,,2.07%,€522.5M,€79.4M,3.4B,
eCashXEC,€0.000026,,2.31%,€511.5M,€14.3M,19.5T,
FlowFLOW,€0.48,,5.78%,€501.4M,€58.0M,1.0B,Trade
First Digital USDFDUSD,€0.94,,0.18%,€498.5M,€1.7B,528.1M,Trade
ChilizCHZ,€0.0621,,2.60%,€469.9M,€66.3M,7.6B,Trade
Gala V1GALA,€0.0184,,4.09%,€466.7M,€120.9M,25.4B,Trade
Tether GoldXAUt,"€1,891.01",,0.26%,€466.2M,€3.7M,246.5K,Trade
ApeCoinAPE,€1.26,,3.82%,€459.9M,€40.8M,368.6M,Trade
Paxos StandardPAX,€0.94,,0.90%,€455.0M,€991.3K,483.7M,Trade
PAX GoldPAXG,"€1,872.12",,0.26%,€457.6M,€5.8M,244.6K,Trade
PepePEPE,€0.00000108,,4.59%,€450.3M,€126.8M,417.1T,Trade
IOTAIOTA,€0.15,,3.23%,€435.8M,€13.6M,3.0B,
ZcashZEC,€26.61,,0.54%,€434.3M,€48.4M,16.3M,Trade
BitTorrent(New)BTT,€0.00000046,,9.27%,€434.8M,€52.8M,951.4T,Trade
Rocket PoolRPL,€21.85,,2.71%,€430.8M,€3.3M,19.8M,Trade
KuCoin TokenKCS,€4.33,,1.16%,€419.5M,€1.1M,96.7M,Trade
Frax ShareFXS,€5.52,,3.81%,€412.6M,€20.0M,74.9M,Trade
Trust Wallet TokenTWT,€0.99,,2.08%,€412.3M,€17.1M,416.6M,
KlaytnKLAY,€0.13,,0.48%,€408.4M,€12.9M,3.2B,
Curve DAO TokenCRV,€0.45,,2.59%,€406.1M,€43.7M,898.5M,Trade
Aave CRV V2aCRVv2,€0.45,,3.61%,€407.1M,€43.5M,898.5M,Trade
dYdXDYDX,€2.21,,4.89%,€405.4M,€86.5M,183.8M,Trade
GMXGMX,€42.10,,3.37%,€384.7M,€19.6M,9.2M,
Huobi TokenHT,€2.28,,0.24%,€369.8M,€6.2M,162.2M,Trade
ArweaveAR,€5.49,,7.68%,€358.4M,€24.8M,65.5M,
SUISUI,€0.42,,4.82%,€356.4M,€105.6M,860.4M,Trade
CasperCSPR,€0.0311,,3.43%,€355.7M,€4.1M,11.4B,
WOO NetworkWOO,€0.20,,5.37%,€355.8M,€14.4M,1.8B,Trade
TerraLUNA,€0.000060,,3.31%,€348.5M,€21.7M,5.8T,Trade
CompoundCOMP,€43.29,,2.82%,€341.5M,€42.1M,7.9M,Trade
GateTokenGT,€3.60,,0.67%,€341.4M,€1.6M,94.9M,Trade
NexoNEXO,€0.60,,0.51%,€333.5M,€2.2M,560.0M,Trade
DashDASH,€27.94,,2.52%,€321.9M,€54.6M,11.5M,Trade
APENFTNFT,€0.00000032,,2.17%,€320.7M,€17.1M,990.1T,Trade
Oasis NetworkROSE,€0.0473,,5.09%,€307.9M,€15.2M,6.5B,Trade
ZilliqaZIL,€0.0175,,3.31%,€302.6M,€20.7M,17.4B,
FLOKIFLOKI,€0.000031,,9.60%,€294.3M,€57.9M,9.5T,Trade
QtumQTUM,€2.75,,4.14%,€287.5M,€43.7M,104.8M,
Basic Attention TokenBAT,€0.19,,1.85%,€286.3M,€20.3M,1.5B,Trade
1inch1INCH,€0.27,,3.30%,€282.1M,€23.9M,1.0B,Trade
Fetch.aiFET,€0.34,,2.22%,€279.0M,€68.3M,812.4M,Trade
SafePalSFP,€0.66,,1.94%,€277.9M,€4.2M,420.8M,Trade
AstarASTR,€0.0511,,0.52%,€272.5M,€14.0M,5.3B,
SingularityNETAGIX,€0.22,,4.70%,€266.8M,€37.6M,1.2B,Trade
TellorTRB,€105.83,,7.67%,€263.6M,€142.0M,2.5M,Trade
MX TOKENMX,€2.62,,3.17%,€263.9M,€2.4M,100.6M,Trade
FLAREFLR,€0.0098,,2.79%,€262.3M,€11.0M,26.8B,Trade
PancakeSwapCAKE,€1.16,,0.94%,€262.4M,€12.6M,225.5M,Trade
GnosisGNO,€100.32,,0.28%,€260.3M,€10.7M,2.6M,Trade
LoopringLRC,€0.19,,1.19%,€252.7M,€19.0M,1.3B,Trade
NEMXEM,€0.0280,,2.66%,€251.5M,€9.7M,9.0B,
TerraLUNA,€0.44,,2.76%,€248.0M,€31.3M,565.6M,
JUSTJST,€0.0275,,3.96%,€244.3M,€34.4M,8.9B,
Bitcoin GoldBTG,€13.90,,3.09%,€243.4M,€16.0M,17.5M,
Enjin CoinENJ,€0.25,,3.03%,€245.3M,€27.7M,1.0B,Trade
CeloCGLD,€0.46,,4.82%,€233.7M,€12.9M,515.1M,Trade
ChiaXCH,€26.03,,2.43%,€231.6M,€31.8M,8.9M,
BlurBLUR,€0.22,,6.37%,€230.7M,€46.7M,1.0B,Trade
aelfELF,€0.34,,2.66%,€229.9M,€10.3M,682.6M,Trade
Mask NetworkMASK,€2.78,,3.97%,€227.4M,€74.7M,82.1M,Trade
HoloHOT,€0.0013,,1.72%,€225.6M,€35.3M,172.3B,Trade
Theta FuelTFUEL,€0.0354,,2.97%,€224.2M,€5.6M,6.3B,
Akash NetworkAKT,€1.01,,0.10%,€222.5M,€3.6M,220.7M,Trade
Ethereum Name ServiceENS,€7.33,,2.40%,€220.3M,€13.8M,30.1M,Trade
Aave ENS V2aENSv2,€7.36,,2.38%,€221.1M,€13.8M,30.1M,Trade
STEPNGMT,€0.17,,8.52%,€220.8M,€53.5M,1.3B,Trade
0x ProtocolZRX,€0.26,,4.07%,€219.4M,€204.8M,847.5M,Trade
Convex FinanceCVX,€2.66,,4.43%,€217.6M,€7.1M,81.5M,Trade
RavencoinRVN,€0.0163,,3.29%,€214.5M,€14.7M,13.1B,
WorldcoinWLD,€1.89,,6.17%,€209.6M,€107.3M,111.1M,Trade
AnkrANKR,€0.0210,,3.37%,€208.8M,€17.9M,10.0B,Trade
HeliumHNT,€1.44,,1.86%,€207.8M,€928.4K,143.9M,Trade
Golem (Old)GNT,€0.20,,4.26%,€200.7M,€9.6M,1.0B,Trade
GolemGLM,€0.20,,4.22%,€200.9M,€9.6M,1.0B,Trade
ICONICX,€0.20,,0.38%,€198.8M,€45.7M,970.7M,
Ocean ProtocolOCEAN,€0.34,,6.16%,€195.7M,€31.6M,568.4M,Trade
PolymeshPOLYX,€0.26,,24.56%,€196.2M,€433.6M,744.6M,
IoTeXIOTX,€0.0206,,3.65%,€194.5M,€11.1M,9.4B,Trade
ThresholdT,€0.0208,,5.41%,€193.6M,€16.2M,9.3B,Trade
DecredDCR,€12.37,,0.78%,€193.0M,€1.0M,15.6M,
WAXWAXP,€0.0566,,0.55%,€190.8M,€89.0M,3.4B,
